,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
11129,gas_tax,LETTERS TO THE EDITOR,,"Tucson Citizen; Tucson, Ariz.","May 8, 2004","Tucson, Ariz.",,Editorial,https://www.proquest.com/newspapers/letters-editor/docview/237129305/se-2?accountid=13360,AZ
11494,gas_tax,COALITION BLASTS STATE'S SPENDING AGENDA,"Pitzl, Mary Jo","Arizona Republic; Phoenix, Ariz.","Feb 21, 2003","Phoenix, Ariz.",,Local,https://www.proquest.com/newspapers/coalition-blasts-states-spending-agenda/docview/238268855/se-2?accountid=13360,AZ
11703,gas_tax,Midtown wash fireproofed,"Kornman, Sheryl","Tucson Citizen; Tucson, Ariz.","Jul 25, 2003","Tucson, Ariz.",,News,https://www.proquest.com/newspapers/midtown-wash-fireproofed/docview/237108646/se-2?accountid=13360,AZ
11813,gas_tax,Scores would rise if students could opt out,,"Arizona Republic; Phoenix, Ariz.","Mar 15, 2015","Phoenix, Ariz.",F.6,Valley & State In-Depth,https://www.proquest.com/newspapers/scores-would-rise-if-students-could-opt-out/docview/1663419072/se-2?accountid=13360,AZ
11913,gas_tax,"Congress to tackle highways, education","Davis, Susan","Arizona Republic; Phoenix, Ariz.","Jul 5, 2015","Phoenix, Ariz.",B.3,Valley & State,https://www.proquest.com/newspapers/congress-tackle-highways-education/docview/1693522807/se-2?accountid=13360,AZ
12102,gas_tax,Gordon's solar-development message met with praise,,"Arizona Republic; Phoenix, Ariz.","Mar 18, 2009","Phoenix, Ariz.",,Northeast Phoenix Republic 7,https://www.proquest.com/newspapers/gordons-solar-development-message-met-with-praise/docview/239091266/se-2?accountid=13360,AZ
12120,gas_tax,HIGHER GAS PRICES ARE SENDING URGENT MESSAGE,"Talton, Jon","Arizona Republic; Phoenix, Ariz.","Jun 3, 2004","Phoenix, Ariz.",,Business,https://www.proquest.com/newspapers/higher-gas-prices-are-sending-urgent-message/docview/238460405/se-2?accountid=13360,AZ
12149,gas_tax,Letters to the editor: Principal acted responsibly,,"Arizona Republic; Phoenix, Ariz.","Mar 9, 2019","Phoenix, Ariz.",Z.1_8,Tempe Ahwatukee Republic 10,https://www.proquest.com/newspapers/letters-editor/docview/2189185340/se-2?accountid=13360,AZ
12170,gas_tax,Letters to the editor: Principal acted responsibly,,"Arizona Republic; Phoenix, Ariz.","Mar 9, 2019","Phoenix, Ariz.",Z.37,Phoenix Republic 3,https://www.proquest.com/newspapers/letters-editor/docview/2189181362/se-2?accountid=13360,AZ
12190,gas_tax,Letters to the editor: Principal acted responsibly,,"Arizona Republic; Phoenix, Ariz.","Mar 9, 2019","Phoenix, Ariz.",Z.1_1,Gilbert Republic 12,https://www.proquest.com/newspapers/letters-editor/docview/2189185466/se-2?accountid=13360,AZ
12227,gas_tax,Now is time to stop building freeways,"Golub, Aaron","Arizona Republic; Phoenix, Ariz.","Aug 22, 2008","Phoenix, Ariz.",,VALLEY & State,https://www.proquest.com/newspapers/now-is-time-stop-building-freeways/docview/239041811/se-2?accountid=13360,AZ
12264,gas_tax,EV chambers develop their lobbying priorities,"Polletta, Maria","Arizona Republic; Phoenix, Ariz.","Aug 31, 2013","Phoenix, Ariz.",8,Tempe Republic 10,https://www.proquest.com/newspapers/ev-chambers-develop-their-lobbying-priorities/docview/1430511681/se-2?accountid=13360,AZ
12330,gas_tax,Letters to the editor: Principal acted responsibly,,"Arizona Republic; Phoenix, Ariz.","Mar 9, 2019","Phoenix, Ariz.",Z.77,Northeast Phoenix Republic 7,https://www.proquest.com/newspapers/letters-editor/docview/2189181484/se-2?accountid=13360,AZ
12432,gas_tax,Letters to the editor: Principal acted responsibly,,"Arizona Republic; Phoenix, Ariz.","Mar 9, 2019","Phoenix, Ariz.",Z.1_2,Mesa Republic 11,https://www.proquest.com/newspapers/letters-editor/docview/2189181535/se-2?accountid=13360,AZ
12531,gas_tax,"Topics, positions from second governor debate","Polletta, Maria","Arizona Republic; Phoenix, Ariz.","Sep 27, 2018","Phoenix, Ariz.",A.5,Front,https://www.proquest.com/newspapers/topics-positions-second-governor-debate/docview/2112495362/se-2?accountid=13360,AZ
12653,gas_tax,"Public transportation has shown dramatic gains in popularity in the Valley and Tucson as the state shifts from its car culture, a study finds.",Michelle Ye Hee Lee,"Arizona Republic; Phoenix, Ariz.","Jul 23, 2014","Phoenix, Ariz.",A.1,Front,https://www.proquest.com/newspapers/public-transportation-has-shown-dramatic-gains/docview/1548224659/se-2?accountid=13360,AZ
13322,gas_tax,Would pay-as-you-go freeways pay off for Arizona?,"Creno, Glen","Arizona Republic; Phoenix, Ariz.","Feb 17, 2008","Phoenix, Ariz.",,Front,https://www.proquest.com/newspapers/would-pay-as-you-go-freeways-off-arizona/docview/238959413/se-2?accountid=13360,AZ
13415,gas_tax,A NEW TAX TO BE WASTED,,"Arizona Republic; Phoenix, Ariz.","May 19, 2001","Phoenix, Ariz.",,Opinions,https://www.proquest.com/newspapers/new-tax-be-wasted/docview/237995124/se-2?accountid=13360,AZ
13539,gas_tax,PRO AND CON,,"Tucson Citizen; Tucson, Ariz.","Nov 3, 2003","Tucson, Ariz.",,Perspective,https://www.proquest.com/newspapers/pro-con/docview/237116090/se-2?accountid=13360,AZ
13683,gas_tax,"CLEAN CARS STILL ON BUMPY ROAD CONFUSING STATE TAX CREDITS, MAINTENANCE HAMPER SALES","Pitzl, Mary Jo","Arizona Republic; Phoenix, Ariz.","Jan 3, 1999","Phoenix, Ariz.",,Front,https://www.proquest.com/newspapers/clean-cars-still-on-bumpy-road-confusing-state/docview/237900200/se-2?accountid=13360,AZ
14169,net_metering,APS to revise its plan in solar-subsidy debate,,"Arizona Republic; Phoenix, Ariz.","Oct 24, 2013","Phoenix, Ariz.",B.6,Business,https://www.proquest.com/newspapers/aps-revise-plan-solar-subsidy-debate/docview/1444900559/se-2?accountid=13360,AZ
14180,net_metering,"APS, solar companies clash over credits to customers",,"Arizona Republic; Phoenix, Ariz.","Oct 20, 2013","Phoenix, Ariz.",A.1,Front,https://www.proquest.com/newspapers/aps-solar-companies-clash-over-credits-customers/docview/1448795901/se-2?accountid=13360,AZ
14262,net_metering,"Solar jobs continue growth in Arizona, not as fast as rest of nation","Guzman, Joseph","Arizona Republic; Phoenix, Ariz.","Apr 8, 2017","Phoenix, Ariz.",Z.99,Scottsdale Republic 9,https://www.proquest.com/newspapers/solar-jobs-continue-growth-arizona-not-as-fast/docview/1885179717/se-2?accountid=13360,AZ
14263,net_metering,Solar jobs continue growth at slower pace,"Guzman, Joseph","Arizona Republic; Phoenix, Ariz.","Apr 8, 2017","Phoenix, Ariz.",Z.68,Chandler Republic 6,https://www.proquest.com/newspapers/solar-jobs-continue-growth-at-slower-pace/docview/1885179786/se-2?accountid=13360,AZ
14265,net_metering,"Solar jobs continue growth in Arizona, not as fast as rest of nation","Guzman, Joseph","Arizona Republic; Phoenix, Ariz.","Apr 8, 2017","Phoenix, Ariz.",Z.1210,Gilbert Republic 12,https://www.proquest.com/newspapers/solar-jobs-continue-growth-arizona-not-as-fast/docview/1885180191/se-2?accountid=13360,AZ
14303,net_metering,Terms aren't interchangeable,"Randazzo, Ryan","Arizona Republic; Phoenix, Ariz.","Jan 5, 2014","Phoenix, Ariz.",D.2,Az Economy,https://www.proquest.com/newspapers/terms-arent-interchangeable/docview/1496357655/se-2?accountid=13360,AZ
14322,net_metering,APS and solar industry at odds,"Randazzo, Ryan","Arizona Republic; Phoenix, Ariz.","May 16, 2013","Phoenix, Ariz.",D.1,Business,https://www.proquest.com/newspapers/aps-solar-industry-at-odds/docview/1355280868/se-2?accountid=13360,AZ
14365,net_metering,"Solar jobs continue growth in Arizona, not as fast as rest of nation","Guzman, Joseph","Arizona Republic; Phoenix, Ariz.","Apr 8, 2017","Phoenix, Ariz.",Z.810,Scottsdale Republic 8,https://www.proquest.com/newspapers/solar-jobs-continue-growth-arizona-not-as-fast/docview/1885183574/se-2?accountid=13360,AZ
14412,net_metering,Rooftop-solar truce: Dueling ballot measures dropped,"Randazzo, Ryan; Pitzl, Mary Jo","Arizona Republic; Phoenix, Ariz.","Apr 29, 2016","Phoenix, Ariz.",A.5,Front,https://www.proquest.com/newspapers/rooftop-solar-truce-dueling-ballot-measures/docview/1785261072/se-2?accountid=13360,AZ
14418,net_metering,Shout from the rooftops and shine the light on energy choice,"Mapstead, James","Arizona Republic; Phoenix, Ariz.","Jun 19, 2013","Phoenix, Ariz.",35,Scottsdale Republic 8,https://www.proquest.com/newspapers/shout-rooftops-shine-light-on-energy-choice/docview/1419039851/se-2?accountid=13360,AZ
14505,net_metering,LETTERS TO THE EDITOR,,"Arizona Republic; Phoenix, Ariz.","Nov 20, 2013","Phoenix, Ariz.",B.9,Opinions,https://www.proquest.com/newspapers/letters-editor/docview/1470546207/se-2?accountid=13360,AZ
14573,net_metering,"Only lobbyists, payday lenders want 'flex loans'",,"Arizona Republic; Phoenix, Ariz.","Apr 20, 2016","Phoenix, Ariz.",A.17,Front,https://www.proquest.com/newspapers/only-lobbyists-payday-lenders-want-flex-loans/docview/1782217016/se-2?accountid=13360,AZ
14673,net_metering,Our endorsements: FOR MORE INFO . . .,,"Tucson Citizen; Tucson, Ariz.","Sep 1, 2008","Tucson, Ariz.",,Citizen Voices,https://www.proquest.com/newspapers/our-endorsements/docview/237212002/se-2?accountid=13360,AZ
14751,net_metering,4 school districts weigh solar options,"Bloom, Alex","Arizona Republic; Phoenix, Ariz.","Nov 3, 2008","Phoenix, Ariz.",,VALLEY & State,https://www.proquest.com/newspapers/4-school-districts-weigh-solar-options/docview/239110372/se-2?accountid=13360,AZ
14765,net_metering,Rooftop solar teetering on the edge; utilities must come to the table,,"Arizona Republic; Phoenix, Ariz.","Jun 29, 2015","Phoenix, Ariz.",A.16,Front,https://www.proquest.com/newspapers/rooftop-solar-teetering-on-edge-utilities-must/docview/1691590241/se-2?accountid=13360,AZ
14770,net_metering,Solar an economic engine for Arizona's sunny climes,"Jordan, Rose","Arizona Republic; Phoenix, Ariz.","Jul 4, 2009","Phoenix, Ariz.",,Opinions,https://www.proquest.com/newspapers/solar-economic-engine-arizonas-sunny-climes/docview/239146391/se-2?accountid=13360,AZ
14795,net_metering,What if SRP's proposed rate increase for fees on rooftop solar users receives approval?: Cost of service must be shared,,"Arizona Republic; Phoenix, Ariz.","Feb 15, 2015","Phoenix, Ariz.",F.7,Valley & State In-Depth,https://www.proquest.com/newspapers/what-if-srps-proposed-rate-increase-fees-on/docview/1655252900/se-2?accountid=13360,AZ
14806,net_metering,LETTERS TO THE EDITOR,,"Arizona Republic; Phoenix, Ariz.","Nov 1, 2013","Phoenix, Ariz.",B.9,Opinions,https://www.proquest.com/newspapers/letters-editor/docview/1463081143/se-2?accountid=13360,AZ
14846,net_metering,The economic downside to nixing national monuments,,"Arizona Republic; Phoenix, Ariz.","Jul 23, 2017","Phoenix, Ariz.",E.6,AZ Economy,https://www.proquest.com/newspapers/economic-downside-nixing-national-monuments/docview/1922265465/se-2?accountid=13360,AZ
14879,net_metering,"Energy costs cut with solar: After 6 years, investment will pay off","Copenhaver, Larry","Tucson Citizen; Tucson, Ariz.","Jul 27, 2005","Tucson, Ariz.",,City/State,https://www.proquest.com/newspapers/energy-costs-cut-with-solar/docview/237147961/se-2?accountid=13360,AZ
14905,net_metering,LETTERS TO THE EDITOR,,"Arizona Republic; Phoenix, Ariz.","May 19, 2013","Phoenix, Ariz.",B.9,Opinions,https://www.proquest.com/newspapers/letters-editor/docview/1355688303/se-2?accountid=13360,AZ
14912,net_metering,"FORECAST FOR HOME MARKET IS SUNNY: REBATES, NEW RULES HELPING TO FUEL INTEREST FOR OWNERS","Shaffer, Mark","Arizona Republic; Phoenix, Ariz.","Nov 25, 2006","Phoenix, Ariz.",,Business,https://www.proquest.com/newspapers/forecast-home-market-is-sunny/docview/238761417/se-2?accountid=13360,AZ
14917,net_metering,VALLEY BUILDER TO PUT SOLAR HOMES IN QUEEN CREEK,"Shaffer, Mark","Arizona Republic; Phoenix, Ariz.","Dec 8, 2006","Phoenix, Ariz.",,San Tan Monthly,https://www.proquest.com/newspapers/valley-builder-put-solar-homes-queen-creek/docview/238849125/se-2?accountid=13360,AZ
14927,net_metering,Dem ACC candidates reap $6M in funding: Clean-energy spenders pump up regulator race,"Randazzo, Ryan","Arizona Republic; Phoenix, Ariz.","Oct 28, 2020","Phoenix, Ariz.",A.1,Front,https://www.proquest.com/newspapers/dem-acc-candidates-reap-6m-funding/docview/2454587160/se-2?accountid=13360,AZ
15262,system_benefit_charge,SRP votes to postpone rate boost,"Randazzo, Ryan","Arizona Republic; Phoenix, Ariz.","Sep 2, 2009","Phoenix, Ariz.",,Business,https://www.proquest.com/newspapers/srp-votes-postpone-rate-boost/docview/239145049/se-2?accountid=13360,AZ
