,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
9400,gas_tax,Mistake to count on endless oil supply,,"Indianapolis Star; Indianapolis, Ind.","May 21, 2000","Indianapolis, Ind.",,EDITORIAL,https://www.proquest.com/newspapers/mistake-count-on-endless-oil-supply/docview/240289400/se-2?accountid=13360,IN
9514,gas_tax,Funding road projects is challenging,"Groppe, Maureen","Indianapolis Star; Indianapolis, Ind.","Sep 8, 2015","Indianapolis, Ind.",A.1,A,https://www.proquest.com/newspapers/funding-road-projects-is-challenging/docview/1710251249/se-2?accountid=13360,IN
9558,gas_tax,Effort to boost state's highway funds rejected,"Groppe, Maureen","Indianapolis Star; Indianapolis, Ind.","Mar 14, 2012","Indianapolis, Ind.",,NEWS,https://www.proquest.com/newspapers/effort-boost-states-highway-funds-rejected/docview/928408173/se-2?accountid=13360,IN
9603,gas_tax,"Taxes, jobs on minds of candidates","Helmes, Rebecca","Palladium - Item; Richmond, Ind.","Oct 11, 2006","Richmond, Ind.",,Election,https://www.proquest.com/newspapers/taxes-jobs-on-minds-candidates/docview/441025633/se-2?accountid=13360,IN
10373,gas_tax,Indiana's dwindling tax base is real problem,,"Star Press; Muncie, Ind.","Jan 8, 2017","Muncie, Ind.",B.1,Business,https://www.proquest.com/newspapers/indianas-dwindling-tax-base-is-real-problem/docview/1856253219/se-2?accountid=13360,IN
10388,gas_tax,Campaigns seize on gas price pains,"SLYDER, CURT","Journal & Courier; Lafayette, Ind.","Apr 26, 2008","Lafayette, Ind.",,A-Section,https://www.proquest.com/newspapers/campaigns-seize-on-gas-price-pains/docview/383181012/se-2?accountid=13360,IN
10670,gas_tax,"Buttigieg's $1T infrastructure plan brings praise, questions","Gibson, London","Indianapolis Star; Indianapolis, Ind.","Jan 15, 2020","Indianapolis, Ind.",A.2,News,https://www.proquest.com/newspapers/buttigiegs-1t-infrastructure-plan-brings-praise/docview/2337765685/se-2?accountid=13360,IN
10688,gas_tax,"Miles to go, but out of cash",Ryan Sabalow,"Indianapolis Star; Indianapolis, Ind.","Oct 7, 2012","Indianapolis, Ind.",,News,https://www.proquest.com/newspapers/miles-go-out-cash/docview/1086909203/se-2?accountid=13360,IN
10755,gas_tax,National energy policy should be goal,,"South Bend Tribune; South Bend, Ind.","Feb 4, 2001","South Bend, Ind.",,Business,https://www.proquest.com/newspapers/national-energy-policy-should-be-goal/docview/417075380/se-2?accountid=13360,IN
10783,gas_tax,VOICE OF THE PEOPLE,,"South Bend Tribune; South Bend, Ind.","Jun 23, 2012","South Bend, Ind.",A.5,,https://www.proquest.com/newspapers/voice-people/docview/1022089348/se-2?accountid=13360,IN
10835,gas_tax,Gas prices continue to rise -- what should the government do?,,"Journal & Courier; Lafayette, Ind.","Apr 13, 2008","Lafayette, Ind.",,OPINIONS,https://www.proquest.com/newspapers/gas-prices-continue-rise-what-should-government/docview/383186600/se-2?accountid=13360,IN
10984,gas_tax,CITY-COUNTY COUNCIL DISTRICT 13,,"Indianapolis Star; Indianapolis, Ind.","Oct 31, 2003","Indianapolis, Ind.",,StarWest,https://www.proquest.com/newspapers/city-county-council-district-13/docview/240638581/se-2?accountid=13360,IN
11057,gas_tax,City-County Council District 13,,"Indianapolis Star; Indianapolis, Ind.","Nov 2, 2003","Indianapolis, Ind.",,SPECIAL SECTION,https://www.proquest.com/newspapers/city-county-council-district-13/docview/240657098/se-2?accountid=13360,IN
11555,gas_tax,Groups hold Earth Day events,"Hlavek, Beth","Journal & Courier; Lafayette, Ind.","Apr 22, 2004","Lafayette, Ind.",,A-Section,https://www.proquest.com/newspapers/groups-hold-earth-day-events/docview/383054370/se-2?accountid=13360,IN
