previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
7825,carbon_tax,Newcomer vs. veteran for attorney general,"Beitsch, Rebecca","Bismarck Tribune; Bismarck, ND","Sep 5, 2010","Bismarck, N.D.",C.1,Dakota Wire,https://www.proquest.com/newspapers/newcomer-vs-veteran-attorney-general/docview/749599264/se-2?accountid=13360,ND
8308,clean_energy_standard,Climate bill might have a shot at bipartisan support,BENJAMIN J HULAC CQ-Roll Call,"Bismarck Tribune; Bismarck, ND","Mar 15, 2021","Bismarck, N.D.",4,A,https://www.proquest.com/newspapers/climate-bill-might-have-shot-at-bipartisan/docview/2501276667/se-2?accountid=13360,ND
9064,gas_tax,Going where the road meets the walrus,"Collins, Gail","Bismarck Tribune; Bismarck, ND","Jan 24, 2015","Bismarck, N.D.",6,A,https://www.proquest.com/newspapers/going-where-road-meets-walrus/docview/1647735447/se-2?accountid=13360,ND
9361,gas_tax,(The following editorial appeared in the Philadelphia... [Derived Headline],Anonymous,"Bismarck Tribune; Bismarck, ND","Jun 15, 2008","Bismarck, N.D.",C.6,Opinion,https://www.proquest.com/newspapers/following-editorial-appeared-philadelphia-derived/docview/339113773/se-2?accountid=13360,ND
9691,gas_tax,States struggle for financing to meet road needs,Anonymous,"Bismarck Tribune; Bismarck, ND","Sep 18, 2011","Bismarck, N.D.",A.1,News,https://www.proquest.com/newspapers/states-struggle-financing-meet-road-needs/docview/892029050/se-2?accountid=13360,ND
9889,gas_tax,Economic slowdown means road project savings,,"Bismarck Tribune; Bismarck, ND","Jul 22, 2016","Bismarck, N.D.",1,B,https://www.proquest.com/newspapers/economic-slowdown-means-road-project-savings/docview/1806106451/se-2?accountid=13360,ND
10653,gas_tax,Bismarck growth and increased taxation,"Wrangham, Dwight","Bismarck Tribune; Bismarck, ND","Jan 2, 2016","Bismarck, N.D.",5,A,https://www.proquest.com/newspapers/bismarck-growth-increased-taxation/docview/1752838858/se-2?accountid=13360,ND
10722,gas_tax,Needing to proceed with caution,31,"Bismarck Tribune; Bismarck, ND","Feb 6, 2015","Bismarck, N.D.",10,A,https://www.proquest.com/newspapers/needing-proceed-with-caution/docview/1651522917/se-2?accountid=13360,ND
10906,gas_tax,"Grand Forks, Fargo trumps Bismarck-Mandan at the pump",CRYSTALR. REID,"Bismarck Tribune; Bismarck, ND","Oct 29, 2006","Bismarck, N.D.",,News,https://www.proquest.com/newspapers/grand-forks-fargo-trumps-bismarck-mandan-at-pump/docview/339056208/se-2?accountid=13360,ND
10932,gas_tax,Road fees proposed,"Hageman, John","Bismarck Tribune; Bismarck, ND","Dec 23, 2018","Bismarck, N.D.",2,C,https://www.proquest.com/newspapers/road-fees-proposed/docview/2159871082/se-2?accountid=13360,ND
10949,gas_tax,Lawmaker eyes fee,"Hageman, John","Bismarck Tribune; Bismarck, ND","Dec 23, 2018","Bismarck, N.D.",2,C,https://www.proquest.com/newspapers/lawmaker-eyes-fee/docview/2159750047/se-2?accountid=13360,ND
11148,gas_tax,Multiple Trumps in the Oval Office,,"Bismarck Tribune; Bismarck, ND","May 6, 2017","Bismarck, N.D.",8,A,https://www.proquest.com/newspapers/multiple-trumps-oval-office/docview/1895999986/se-2?accountid=13360,ND
11227,gas_tax,Seeking equality behind bars,"Springer, Patrick","Bismarck Tribune; Bismarck, ND","Jan 27, 2019","Bismarck, N.D.",1,A,https://www.proquest.com/newspapers/seeking-equality-behind-bars/docview/2171388540/se-2?accountid=13360,ND
11613,gas_tax,Senate OKs Highway bill Readies for White House battle,"Abrams, Jim","Bismarck Tribune; Bismarck, ND","May 18, 2005","Bismarck, N.D.",,A,https://www.proquest.com/newspapers/senate-oks-highway-bill-readies-white-house/docview/338989888/se-2?accountid=13360,ND
12199,gas_tax,North Dakota has been doing well in the rankings... [Derived Headline],,"Bismarck Tribune; Bismarck, ND","Mar 31, 2012","Bismarck, N.D.",A.6,Opinion,https://www.proquest.com/newspapers/north-dakota-has-been-doing-well-rankings-derived/docview/963524356/se-2?accountid=13360,ND
12602,gas_tax,"[ As the tax deadline hits, taxpayers frantically completing their 1040s... ]","Riedl, Brian","Bismarck Tribune; Bismarck, ND","Apr 17, 2006","Bismarck, N.D.",,Opinion,https://www.proquest.com/newspapers/as-tax-deadline-hits-taxpayers-frantically/docview/339007332/se-2?accountid=13360,ND
12676,gas_tax,"A flurry of bills, words",,"Bismarck Tribune; Bismarck, ND","Mar 2, 2013","Bismarck, N.D.",B.1,Dakota Wire,https://www.proquest.com/newspapers/flurry-bills-words/docview/1314387976/se-2?accountid=13360,ND
12689,gas_tax,1 million barrels a day,"Donovan, Lauren","Bismarck Tribune; Bismarck, ND","Feb 23, 2014","Bismarck, N.D.",P.1,Special Sections,https://www.proquest.com/newspapers/1-million-barrels-day/docview/1501632935/se-2?accountid=13360,ND
13110,gas_tax,Fossil fuels boost economy but drive emissions,"Meibers, Bonnie","Bismarck Tribune; Bismarck, ND","Dec 19, 2018","Bismarck, N.D.",5,B,https://www.proquest.com/newspapers/fossil-fuels-boost-economy-drive-emissions/docview/2158281291/se-2?accountid=13360,ND
13136,gas_tax,Congress returns amid sour mood over slow economy,Anonymous,"Bismarck Tribune; Bismarck, ND","Sep 6, 2011","Bismarck, N.D.",A.5,News,https://www.proquest.com/newspapers/congress-returns-amid-sour-mood-over-slow-economy/docview/892018962/se-2?accountid=13360,ND
13429,gas_tax,Big infrastructure effects hard to measure,,"Bismarck Tribune; Bismarck, ND","Aug 20, 2017","Bismarck, N.D.",5,B,https://www.proquest.com/newspapers/big-infrastructure-effects-hard-measure/docview/1930260677/se-2?accountid=13360,ND
