,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
8286,clean_energy_standard,A Different Meltdown,,"Bozeman Daily Chronicle; Bozeman, Mont.","Mar 15, 2011","Bozeman, Mont.",A.2,Page Two,https://www.proquest.com/newspapers/different-meltdown/docview/856958928/se-2?accountid=13360,MT
8450,demand-side_management,Tax policy for energy argued,"Howard, Tom","The Billings Gazette; Billings, Mont.","Aug 25, 2001","Billings, Mont.",,,https://www.proquest.com/newspapers/tax-policy-energy-argued/docview/401670535/se-2?accountid=13360,MT
8570,demand-side_management,Tax policy for energy argued,"Howard, Tom","The Billings Gazette; Billings, Mont.","Aug 25, 2001","Billings, Mont.",,,https://www.proquest.com/newspapers/tax-policy-energy-argued/docview/401670535/se-2?accountid=13360,MT
8648,emissions_tax,"On our minds: Election, wolverines, candidates",,"Great Falls Tribune; Great Falls, Mont.","Oct 16, 2012","Great Falls, Mont.",,Viewpoints,https://www.proquest.com/newspapers/on-our-minds-election-wolverines-candidates/docview/1125565397/se-2?accountid=13360,MT
8658,emissions_tax,EPA and CO2: EPA AND CO2,"Squires, P Joan","Great Falls Tribune; Great Falls, Mont.","Jul 13, 2011","Great Falls, Mont.",,Viewpoints,https://www.proquest.com/newspapers/epa-co2/docview/876262061/se-2?accountid=13360,MT
8991,gas_tax,"Supporters, opponents of proposed gas tax speak out","Erickson, David","Missoulian; Missoula, Mont.","Feb 27, 2020","Missoula, Mont.",,,https://www.proquest.com/newspapers/supporters-opponents-proposed-gas-tax-speak-out/docview/2491170156/se-2?accountid=13360,MT
9233,gas_tax,Legislators must address infrastructure,"McClure, Craig; Cox, Caryl","Missoulian; Missoula, Mont.","Jun 8, 2017","Missoula, Mont.",,,https://www.proquest.com/newspapers/legislators-must-address-infrastructure/docview/1907606275/se-2?accountid=13360,MT
9329,gas_tax,"Montanans eye expanding, clarifying invasive species fight","Kuglin, Tom","Missoulian; Missoula, Mont.","Nov 15, 2018","Missoula, Mont.",,,https://www.proquest.com/newspapers/montanans-eye-expanding-clarifying-invasive/docview/2224674894/se-2?accountid=13360,MT
9804,gas_tax,Candidates outline plans to boost economy,"Dennison, Mike","The Billings Gazette; Billings, Mont.","Sep 20, 2012","Billings, Mont.",,,https://www.proquest.com/newspapers/candidates-outline-plans-boost-economy/docview/1095478689/se-2?accountid=13360,MT
10396,gas_tax,Congress sends Bush $8 billion highway-relief bill,"Abrams, Jim","Great Falls Tribune; Great Falls, Mont.","Sep 12, 2008","Great Falls, Mont.",,A Section,https://www.proquest.com/newspapers/congress-sends-bush-8-billion-highway-relief-bill/docview/441337680/se-2?accountid=13360,MT
11106,gas_tax,Montana should learn from past when it comes to resource extraction,,"Bozeman Daily Chronicle; Bozeman, Mont.","Jun 10, 2013","Bozeman, Mont.",A.6,Opinion,https://www.proquest.com/newspapers/montana-should-learn-past-when-comes-resource/docview/1366016253/se-2?accountid=13360,MT
11540,gas_tax,County eager for pollution cleanup,"Lee, Sonja","Great Falls Tribune; Great Falls, Mont.","Mar 6, 2002","Great Falls, Mont.",,MONTANA,https://www.proquest.com/newspapers/county-eager-pollution-cleanup/docview/890575142/se-2?accountid=13360,MT
11672,gas_tax,Legislature leaves boatload of new laws to digest,"Adams, John S","Great Falls Tribune; Great Falls, Mont.","May 3, 2009","Great Falls, Mont.",,A Section,https://www.proquest.com/newspapers/legislature-leaves-boatload-new-laws-digest/docview/441377511/se-2?accountid=13360,MT
12010,gas_tax,Franke Wilmer runs for state Senate,"Carter, Troy","Bozeman Daily Chronicle; Bozeman, Mont.","Sep 28, 2014","Bozeman, Mont.",C.1,Big Sky,https://www.proquest.com/newspapers/franke-wilmer-runs-state-senate/docview/1565982027/se-2?accountid=13360,MT
12526,gas_tax,Senate GOP blocks highway bill,"Simon, Richard; Mascaro, Lisa","Bozeman Daily Chronicle; Bozeman, Mont.","Mar 7, 2012","Bozeman, Mont.",A.5,Nation,https://www.proquest.com/newspapers/senate-gop-blocks-highway-bill/docview/926535696/se-2?accountid=13360,MT
12584,gas_tax,"On our minds: Beer, spots, Bible: Brewery pluses",,"Great Falls Tribune; Great Falls, Mont.","Mar 30, 2013","Great Falls, Mont.",,Opinion,https://www.proquest.com/newspapers/on-our-minds-beer-spots-bible/docview/1321699589/se-2?accountid=13360,MT
12722,gas_tax,"On our minds: Beer, spots, Bible: Brewery pluses",,"Great Falls Tribune; Great Falls, Mont.","Mar 31, 2013","Great Falls, Mont.",A.6,Viewpoints,https://www.proquest.com/newspapers/on-our-minds-beer-spots-bible/docview/1324262933/se-2?accountid=13360,MT
13354,gas_tax,Schweitzer defends his record on oil production,"Dennison, Mike","The Billings Gazette; Billings, Mont.","Aug 3, 2008","Billings, Mont.",,,https://www.proquest.com/newspapers/schweitzer-defends-his-record-on-oil-production/docview/401125147/se-2?accountid=13360,MT
13553,gas_tax,Clock ticking for swarm of divisive bills,"Adams, John S","Great Falls Tribune; Great Falls, Mont.","Mar 22, 2009","Great Falls, Mont.",,A Section,https://www.proquest.com/newspapers/clock-ticking-swarm-divisive-bills/docview/441357746/se-2?accountid=13360,MT
13595,gas_tax,Outdoor notebook: [1],,"Great Falls Tribune; Great Falls, Mont.","Dec 27, 2001","Great Falls, Mont.",,OUTDOORS,https://www.proquest.com/newspapers/outdoor-notebook/docview/892569702/se-2?accountid=13360,MT
13606,gas_tax,Outdoor notebook,,"Great Falls Tribune; Great Falls, Mont.","Dec 27, 2001","Great Falls, Mont.",,Outdoors,https://www.proquest.com/newspapers/outdoor-notebook/docview/440977935/se-2?accountid=13360,MT
14065,net_metering,Support raised cap on net metering,,"Missoulian; Missoula, Mont.","Feb 24, 2017","Missoula, Mont.",,,https://www.proquest.com/newspapers/support-raised-cap-on-net-metering/docview/1879974406/se-2?accountid=13360,MT
14083,net_metering,Net metering the wave of the future,,"Bozeman Daily Chronicle; Bozeman, Mont.","Jan 23, 2015","Bozeman, Mont.",A.6,Opinion,https://www.proquest.com/newspapers/net-metering-wave-future/docview/1647643687/se-2?accountid=13360,MT
14161,net_metering,Going for green,"Puckett, Karl","Great Falls Tribune; Great Falls, Mont.","Jan 27, 2015","Great Falls, Mont.",1,A,https://www.proquest.com/newspapers/going-green/docview/1648335541/se-2?accountid=13360,MT
14328,net_metering,Builders aim for super-energy-efficient homes,,"Bozeman Daily Chronicle; Bozeman, Mont.","Sep 30, 2012","Bozeman, Mont.",D.3,Money,https://www.proquest.com/newspapers/builders-aim-super-energy-efficient-homes/docview/1081292819/se-2?accountid=13360,MT
14424,net_metering,Livingston resident kicks off campaign,"Carter, Troy","Bozeman Daily Chronicle; Bozeman, Mont.","Mar 20, 2015","Bozeman, Mont.",C.1,Big Sky,https://www.proquest.com/newspapers/livingston-resident-kicks-off-campaign/docview/1664775103/se-2?accountid=13360,MT
14501,net_metering,Wind debate swirls in Helena,"Dennison, Mike","Great Falls Tribune; Great Falls, Mont.","Jan 17, 2005","Great Falls, Mont.",,A-Section,https://www.proquest.com/newspapers/wind-debate-swirls-helena/docview/441086998/se-2?accountid=13360,MT
14637,net_metering,Earth Day celebration about connectedness,"Skornogoski, Kim","Great Falls Tribune; Great Falls, Mont.","Apr 20, 2007","Great Falls, Mont.",,A Section,https://www.proquest.com/newspapers/earth-day-celebration-about-connectedness/docview/441234680/se-2?accountid=13360,MT
14684,net_metering,"Fielder, Deschamps, Edmunds vie for GOP PSC nomination","Reilly, Patrick","Missoulian; Missoula, Mont.","May 7, 2020","Missoula, Mont.",,,https://www.proquest.com/newspapers/fielder-deschamps-edmunds-vie-gop-psc-nomination/docview/2492002404/se-2?accountid=13360,MT
14690,net_metering,362 bills to become state law,"Adams, John S","Great Falls Tribune; Great Falls, Mont.","May 19, 2011","Great Falls, Mont.",,A Section,https://www.proquest.com/newspapers/362-bills-become-state-law/docview/867755888/se-2?accountid=13360,MT
14768,net_metering,Republicans have lost sight of what's important to Montanans,SEN MIKE PHILLIPS,"Bozeman Daily Chronicle; Bozeman, Mont.","Mar 4, 2013","Bozeman, Mont.",A.6,Opinion,https://www.proquest.com/newspapers/republicans-have-lost-sight-whats-important/docview/1314351781/se-2?accountid=13360,MT
14913,net_metering,Pioneer has high hopes for wind turbine,"Halstead-Acharya, Linda","The Billings Gazette; Billings, Mont.","Nov 3, 2009","Billings, Mont.",,,https://www.proquest.com/newspapers/pioneer-has-high-hopes-wind-turbine/docview/401173563/se-2?accountid=13360,MT
14964,net_metering,LETTERS TO THE EDITOR: Circus act notorious for violations,,"Great Falls Tribune; Great Falls, Mont.","Apr 14, 2017","Great Falls, Mont.",A.7,Two Cents,https://www.proquest.com/newspapers/letters-editor/docview/1992466942/se-2?accountid=13360,MT
14965,net_metering,LETTERS TO THE EDITOR: Circus act notorious for violations,,"Great Falls Tribune; Great Falls, Mont.","Apr 14, 2017","Great Falls, Mont.",A.7,Two Cents,https://www.proquest.com/newspapers/letters-editor/docview/1888001263/se-2?accountid=13360,MT
15134,RPS,Panel keeps energy plan,"Puckett, Karl","Great Falls Tribune; Great Falls, Mont.","Sep 9, 2014","Great Falls, Mont.",3,M,https://www.proquest.com/newspapers/panel-keeps-energy-plan/docview/1560808715/se-2?accountid=13360,MT
15205,RPS,Montana's renewable energy remains bright in wake of '13 session,,"Bozeman Daily Chronicle; Bozeman, Mont.","May 25, 2013","Bozeman, Mont.",A.6,Opinion,https://www.proquest.com/newspapers/montanas-renewable-energy-remains-bright-wake-13/docview/1355282467/se-2?accountid=13360,MT
