,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL
35,"Al Gore's 'Inconvenient Sequel' brings climate change to the trump era: New film is an updated, more intimate view","Ryan, Patrick","Arizona Republic; Phoenix, Ariz.","Jul 25, 2017","Phoenix, Ariz.",B.6,Valley & State,https://www.proquest.com/newspapers/al-gores-inconvenient-sequel-brings-climate/docview/1922808004/se-2?accountid=13360
36,Future depends on fast passage of renewable energy measure,NA,"Arizona Republic; Phoenix, Ariz.","Sep 19, 2017","Phoenix, Ariz.",A.1,Front,https://www.proquest.com/newspapers/future-depends-on-fast-passage-renewable-energy/docview/1992169603/se-2?accountid=13360
37,The power's there; U.S. parks want only to tap it; Renewable energy projects sit idle because of a squabble with SoCal Edison.,"Cart, Julie","Los Angeles Times; Los Angeles, Calif.","Jan 9, 2012","Los Angeles, Calif.",NA,Main News; Part A; Metro Desk,https://www.proquest.com/newspapers/powers-there-u-s-parks-want-only-tap-renewable/docview/914600923/se-2?accountid=13360
38,Cigarettes' lessons for climate change; Successful anti-smoking efforts of decades past offer a blueprint for how we might tackle global warming.,"Schendler, Auden","Los Angeles Times; Los Angeles, Calif.","Mar 4, 2012","Los Angeles, Calif.",NA,Main News; Part A; Editorial Desk,https://www.proquest.com/newspapers/cigarettes-lessons-climate-change-successful-anti/docview/926047667/se-2?accountid=13360
39,"Science over hype; To counter climate change skeptics, it's crucial to stick to the data.","Lemonick, Michael D","Los Angeles Times; Los Angeles, Calif.","Aug 2, 2012","Los Angeles, Calif.",NA,Main News; Part A; Editorial Desk,https://www.proquest.com/newspapers/science-over-hype-counter-climate-change-skeptics/docview/1030474200/se-2?accountid=13360
40,SCIENCE FILE; New clues in decline of Maya; Rainfall data bolster a theory about climate change's role in the society's rise and fall.,"Morin, Monte","Los Angeles Times; Los Angeles, Calif.","Nov 17, 2012","Los Angeles, Calif.",NA,LATExtra; Part AA; Science Desk,https://www.proquest.com/newspapers/science-file-new-clues-decline-maya-rainfall-data/docview/1156102331/se-2?accountid=13360
41,ENVIRONMENT; Climate change an issue for bank; Activist investors place a resolution on greenhouse gases before PNC Financial.,"Reckard, E Scott","Los Angeles Times; Los Angeles, Calif.","Feb 21, 2013","Los Angeles, Calif.",NA,Business; Part B; Business Desk,https://www.proquest.com/newspapers/environment-climate-change-issue-bank-activist/docview/1289247954/se-2?accountid=13360
42,Time to act on climate change,NA,"Los Angeles Times; Los Angeles, Calif.","Jun 20, 2013","Los Angeles, Calif.",NA,Main News; Part A; Editorial Desk,https://www.proquest.com/newspapers/time-act-on-climate-change/docview/1369578083/se-2?accountid=13360
43,A dry and desperate state; New Mexico wonders: Is this climate change or a brutal aberration?,"Cart, Julie","Los Angeles Times; Los Angeles, Calif.","Aug 6, 2013","Los Angeles, Calif.",NA,Main News; Part A; Metro Desk,https://www.proquest.com/newspapers/dry-desperate-state-new-mexico-wonders-is-this/docview/1417815882/se-2?accountid=13360
44,Experts set threshold for climate-change calamity; Emissions tipping point may be 25 years away,"Barboza, Tony","Los Angeles Times; Los Angeles, Calif.","Sep 28, 2013","Los Angeles, Calif.",NA,Main News; Part A; Metro Desk,https://www.proquest.com/newspapers/experts-set-threshold-climate-change-calamity/docview/1437284207/se-2?accountid=13360
45,THE WORLD; 'How will I feed my family?'; Indonesia village shows how climate change threatens those who depend on sea.,"Welch, Craig","Los Angeles Times; Los Angeles, Calif.","Jan 12, 2014","Los Angeles, Calif.",NA,Main News; Part A; News Desk,https://www.proquest.com/newspapers/world-how-will-i-feed-my-family-indonesia-village/docview/1476555684/se-2?accountid=13360
46,"SCIENCE FILE; Climate change abloom in wildflowers' timing; Their annual season in the Rockies has extended by more than a month in the last 40 years, new research shows.","Barboza, Tony","Los Angeles Times; Los Angeles, Calif.","Mar 22, 2014","Los Angeles, Calif.",NA,LATExtra; Part AA; Science Desk,https://www.proquest.com/newspapers/science-file-climate-change-abloom-wildflowers/docview/1509166037/se-2?accountid=13360
47,Budgeting for climate change,NA,"Los Angeles Times; Los Angeles, Calif.","May 8, 2014","Los Angeles, Calif.",NA,Main News; Part A; Editorial Desk,https://www.proquest.com/newspapers/budgeting-climate-change/docview/1521873271/se-2?accountid=13360
48,U.S. Chamber warns of EPA rule; Report says upcoming climate-change plan could cost economy $51 billion a year.,"Lee, Don","Los Angeles Times; Los Angeles, Calif.","May 29, 2014","Los Angeles, Calif.",NA,Business; Part B; Business Desk,https://www.proquest.com/newspapers/u-s-chamber-warns-epa-rule-report-says-upcoming/docview/1529675304/se-2?accountid=13360
49,MONDAY BUSINESS; CAPITOL BUSINESS BEAT; Bill stirs climate change debate; Proposal by business- friendly Democratic lawmakers would slow California's efforts to curb global warming.,"Lifsher, Marc","Los Angeles Times; Los Angeles, Calif.","Jul 14, 2014","Los Angeles, Calif.",NA,Main News; Part A; Business Desk,https://www.proquest.com/newspapers/monday-business-capitol-beat-bill-stirs-climate/docview/1544718412/se-2?accountid=13360
50,"THE NATION; Adding fuel to fire costs; Climate change may boost the annual bill by billions, study says.","Carcamo, Cindy; Muskal, Michael","Los Angeles Times; Los Angeles, Calif.","Sep 17, 2014","Los Angeles, Calif.",NA,Main News; Part A; National Desk,https://www.proquest.com/newspapers/nation-adding-fuel-fire-costs-climate-change-may/docview/1562298821/se-2?accountid=13360
51,"Few states preparing for climate change; Study of efforts across the U.S. finds 14, including California, have plans ready.","Banerjee, Neela","Los Angeles Times; Los Angeles, Calif.","Oct 11, 2014","Los Angeles, Calif.",NA,Main News; Part A; National Desk,https://www.proquest.com/newspapers/few-states-preparing-climate-change-study-efforts/docview/1609887562/se-2?accountid=13360
52,"BACK STORY; Slush gets buried in ideology; Politics, not drastic weather, colors view of climate change, study says","Mohan, Geoffrey","Los Angeles Times; Los Angeles, Calif.","Nov 30, 2014","Los Angeles, Calif.",NA,Main News; Part A; National Desk,https://www.proquest.com/newspapers/back-story-slush-gets-buried-ideology-politics/docview/1628711543/se-2?accountid=13360
53,THE STATE; Billionaire outpaced all donors in midterms; Democrat Tom Steyer spent $74 million on campaigns in a bid to make climate change a top issue in politics.,"Megerian, Chris","Los Angeles Times; Los Angeles, Calif.","Dec 31, 2014","Los Angeles, Calif.",NA,California; Part AA; Metro Desk,https://www.proquest.com/newspapers/state-billionaire-outpaced-all-donors-midterms/docview/1640950039/se-2?accountid=13360
54,"THE STATE; Climate change bills spark debate; Proposals by Democrats are welcomed by some unions but opposed by oil firms, utilities.","Megerian, Chris","Los Angeles Times; Los Angeles, Calif.","Feb 11, 2015","Los Angeles, Calif.",NA,California; Part B; Metro Desk,https://www.proquest.com/newspapers/state-climate-change-bills-spark-debate-proposals/docview/1652991300/se-2?accountid=13360
55,"Warming planet may threaten 1 in 6 species; If current trends persist, 16% of the world's creatures could die off because of climate change, research finds.","Kaplan, Karen","Los Angeles Times; Los Angeles, Calif.","May 3, 2015","Los Angeles, Calif.",NA,Main News; Part A; Science Desk,https://www.proquest.com/newspapers/warming-planet-may-threaten-1-6-species-if/docview/1677701366/se-2?accountid=13360
56,Dalai Lama's birthday bash; He will speak about climate change and wisdom at UC Irvine.,"Hamilton, Matt","Los Angeles Times; Los Angeles, Calif.","Jul 4, 2015","Los Angeles, Calif.",NA,California; Part B; Metro Desk,https://www.proquest.com/newspapers/dalai-lamas-birthday-bash-he-will-speak-about/docview/1693309250/se-2?accountid=13360
57,SACRAMENTO NOTEBOOK; Brown targets GOP hopefuls; Governor asks the 2016 presidential candidates to detail climate change plans.,"Megerian, Chris","Los Angeles Times; Los Angeles, Calif.","Aug 6, 2015","Los Angeles, Calif.",NA,California; Part B; Metro Desk,https://www.proquest.com/newspapers/sacramento-notebook-brown-targets-gop-hopefuls/docview/1701705665/se-2?accountid=13360
